                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7331,                  2.929,                 1.6619,                0.87827,                0.84346,                0.89441,                0.53873,                 1.2423,                 1.8498,                 1.1869,             0.00028339,             0.00028339,             0.00028339
                      2,                 1.2709,                 1.1885,                  1.225,                0.84655,                0.91176,                0.91368,                0.55927,                 1.2191,                 1.3124,                 1.1314,             0.00056035,             0.00056035,             0.00056035
                      3,                 1.2273,                0.96662,                 1.1759,                  0.576,                0.76471,                0.76392,                0.45306,                 1.1412,                 2.8434,                 1.2444,             0.00081354,             0.00081354,             0.00081354
                      4,                 1.2359,                0.97745,                 1.2757,                0.82779,                0.64706,                 0.7333,                0.48921,                 1.3048,                 1.4522,                 1.3394,               0.001043,               0.001043,               0.001043
                      5,                  1.226,                0.90981,                 1.2516,                0.37329,                0.52294,                0.30757,                0.21604,                   1.73,                 13.743,                 1.5299,              0.0012486,              0.0012486,              0.0012486
                      6,                 1.2269,                  0.933,                 1.2331,                0.56385,                0.74655,                0.71359,                0.40847,                 1.5017,                 2.6202,                 1.3318,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.2281,                0.88985,                 1.2373,                0.77229,                0.89578,                0.94989,                0.60596,                 1.2626,                 1.7716,                 1.2602,              0.0012709,              0.0012709,              0.0012709
                      8,                 1.1605,                0.81591,                 1.1981,                0.91473,                0.88235,                0.93553,                0.67176,                 1.0899,                0.89564,                 1.1369,              0.0012049,              0.0012049,              0.0012049
                      9,                 1.1455,                0.77972,                  1.189,                0.70949,                0.85294,                0.90538,                0.64891,                 1.0443,                 1.0055,                 1.1397,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.1501,                0.75154,                 1.1851,                0.96375,                0.95596,                0.98671,                0.69643,                 1.0887,                0.69288,                 1.1349,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.1233,                0.70085,                 1.1876,                0.92404,                0.94118,                0.94718,                 0.6671,                 1.0791,                0.73415,                 1.1501,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.1326,                0.70859,                 1.1963,                0.99606,                0.94886,                0.99361,                  0.701,                 1.0363,                0.60786,                 1.1271,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.0938,                0.67536,                 1.1722,                0.99228,                      1,                  0.995,                 0.7153,                 1.0921,                 0.5961,                 1.1504,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.0763,                0.66977,                 1.1601,                0.99066,                0.99701,                  0.995,                0.73626,                0.97804,                0.58124,                 1.0801,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.0527,                0.66084,                 1.1501,                0.98699,                0.94118,                0.98921,                0.73705,                  1.039,                0.56851,                 1.1217,             0.00074282,             0.00074282,             0.00074282
                     16,                0.95441,                0.55592,                 1.0872,                0.99442,                0.98669,                  0.995,                0.67977,                 1.1396,                0.56978,                 1.1831,              0.0006768,              0.0006768,              0.0006768
                     17,                0.93452,                0.51141,                 1.0841,                0.99219,                0.99796,                  0.995,                0.70812,                 1.0626,                0.50633,                 1.1285,             0.00061079,             0.00061079,             0.00061079
                     18,                0.92846,                0.50664,                 1.0914,                0.98587,                0.84035,                0.95609,                0.67433,                 1.0664,                0.65819,                  1.131,             0.00054478,             0.00054478,             0.00054478
                     19,                0.87924,                0.50145,                 1.0627,                0.97016,                0.76471,                0.90568,                0.62846,                 1.1755,                 0.7956,                 1.1972,             0.00047876,             0.00047876,             0.00047876
                     20,                 0.8796,                0.47309,                  1.056,                 0.9515,                0.97059,                0.98986,                0.72294,                 1.0158,                0.53504,                 1.1076,             0.00041275,             0.00041275,             0.00041275
                     21,                0.84418,                0.45241,                 1.0127,                0.99554,                      1,                  0.995,                0.72285,                 1.0204,                0.48578,                 1.0991,             0.00034674,             0.00034674,             0.00034674
                     22,                 0.8357,                 0.4427,                 1.0299,                0.99063,                 0.9968,                  0.995,                0.74373,                0.96012,                0.48026,                 1.0686,             0.00028072,             0.00028072,             0.00028072
                     23,                0.80424,                0.42246,                 1.0115,                0.99372,                0.99818,                  0.995,                0.72591,                 1.0102,                0.47128,                 1.1004,             0.00021471,             0.00021471,             0.00021471
                     24,                0.79333,                0.43052,                0.99672,                0.99001,                0.99696,                  0.995,                0.76007,                0.94618,                0.44567,                 1.0738,              0.0001487,              0.0001487,              0.0001487
                     25,                0.77018,                0.42458,                 1.0058,                0.98824,                0.99729,                  0.995,                0.73794,                0.98835,                0.45096,                 1.0877,             8.2683e-05,             8.2683e-05,             8.2683e-05
